Slice,Count,Total Area,Average Size,%Area,Mean,Mode,IntDen
Hg_200_uM_C_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,284,42987.685086250,151.365088332,2.425813680,254.874115151,255,38585.199353715
Hg_200_uM_C_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,279,19794.547487259,70.948198879,1.117014884,254.765111944,255,18079.047567169
Hg_200_uM_C_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,182,24561.192640305,134.951607914,1.385998734,254.984072256,255,34408.516215230
Hg_200_uM_C_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,192,17760.632566452,92.503294617,1.002240185,254.713471333,255,23568.700397491
Hg_500_uM_A_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,290,68994.672697067,237.912664473,3.893399250,254.827066566,255,60643.209749630
Hg_500_uM_A_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,322,28296.092502594,87.876063673,1.596760750,254.161637822,255,22376.944852272
Hg_500_uM_A_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,156,24555.277513504,157.405625087,1.385664941,254.626205053,255,40119.787481846
Hg_500_uM_A_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,157,13017.647533417,82.914952442,0.734591486,254.693038260,255,21126.157081944
Hg_500_uM_A_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,100,17292.924922943,172.929249229,0.975847240,254.525685120,255,44078.643325195
Hg_500_uM_A_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,105,8147.912515640,77.599166816,0.459790231,254.649982271,255,19770.344275484
Hg_500_uM_A_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,92,20084.382487297,218.308505297,1.133370399,254.765139704,255,55649.931802501
Hg_500_uM_A_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,82,6098.787529945,74.375457682,0.344157221,253.929948946,255,18931.580926663
Hg_500_uM_A_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,149,23122.157407761,155.182264482,1.304793353,254.860151867,255,39564.246834365
Hg_500_uM_A_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,150,10837.125013351,72.247500089,0.611543656,254.527625529,255,18397.255502930
Hg_500_uM_A_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,105,16358.777497292,155.797880927,0.923132896,254.682185146,255,39713.068380301
Hg_500_uM_A_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,119,9261.200023651,77.825210283,0.522613527,253.860203334,255,19820.078594817
Hg_500_uM_A_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,156,26630.175041199,170.706250264,1.502752306,254.820178888,255,43516.971767328
Hg_500_uM_A_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,166,12193.349990845,73.453915607,0.688076019,254.817515086,255,18719.715102598
Hg_500_uM_A_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,175,29627.812530518,169.301785889,1.671910288,254.957316807,255,43162.105066964
Hg_500_uM_A_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,184,21008.390041351,114.176032833,1.185512545,254.711921111,255,29090.881614353
Hg_500_uM_A_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,257,43578.340158463,169.565525908,2.459144601,254.967665498,255,43233.759196597
Hg_500_uM_A_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,292,23859.420004845,81.710342482,1.346397400,254.620625013,255,20820.271858947
Hg_500_uM_A_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,362,65632.417480469,181.305020664,3.703665732,254.892894260,255,46222.958993817
Hg_500_uM_A_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,414,35310.859972000,85.291932300,1.992607115,254.543778277,255,21728.884119301
Hg_500_uM_B_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,412,47877.700029373,116.208009780,2.701759340,254.990219857,255,29631.734945057
Hg_500_uM_B_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,417,31106.140107155,74.595060209,1.755332953,254.761958500,255,19008.563738267
Hg_500_uM_B_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,179,32313.222385406,180.520795449,1.823449128,254.902644578,255,46022.570769411
Hg_500_uM_B_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,183,12999.057508469,71.033101139,0.733542443,253.449923323,255,18069.874842576
Hg_500_uM_B_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,216,28301.585062027,131.025856769,1.597070697,254.910358853,255,33403.612868698
Hg_500_uM_B_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,217,19735.820043564,90.948479463,1.113700869,254.616510207,255,23174.981626449
